"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.286740717E1,6.515480958E1,2.568903544E1,4.028430008E1,1.070000052E0,1.138000031E2,3.790092468E0,2.500000000E0
4.386756144E1,6.515480553E1,2.568905391E1,4.020782379E1,1.039999962E0,1.155000000E2,3.790092468E0,2.500000000E0
4.486734681E1,6.515480045E1,2.568907127E1,4.029486090E1,1.070000052E0,1.225999985E2,3.790092468E0,2.500000000E0
4.586786248E1,6.515479588E1,2.568909373E1,4.046264740E1,1.110000014E0,1.191999969E2,3.790092468E0,2.500000000E0
4.686769509E1,6.515479073E1,2.568911504E1,4.032385444E1,1.090000033E0,1.205999985E2,3.790092468E0,2.500000000E0
4.786733456E1,6.515478522E1,2.568913535E1,3.999994192E1,1.059999943E0,1.225000000E2,3.790092468E0,2.500000000E0
4.886811029E1,6.515478031E1,2.568915405E1,4.002631005E1,1.049999952E0,1.210000000E2,3.790092468E0,2.500000000E0
4.986786035E1,6.515477574E1,2.568917213E1,3.995819568E1,1.029999971E0,1.194000015E2,3.790092468E0,2.500000000E0
5.086735555E1,6.515477187E1,2.568919176E1,3.997412658E1,1.039999962E0,1.160999985E2,3.790092468E0,2.500000000E0
5.186814774E1,6.515476752E1,2.568921082E1,4.007971823E1,1.070000052E0,1.200999985E2,3.790092468E0,2.500000000E0
5.286797889E1,6.515476317E1,2.568922826E1,3.975989483E1,1.000000000E0,1.195000000E2,3.790092468E0,2.500000000E0
5.386755003E1,6.515475852E1,2.568924647E1,3.953894846E1,1.009999990E0,1.200999985E2,3.790092468E0,2.500000000E0
5.486734873E1,6.515475373E1,2.568926507E1,3.959595621E1,1.090000033E0,1.204000015E2,3.790092468E0,2.500000000E0
5.586821092E1,6.515474988E1,2.568928447E1,3.956739247E1,1.070000052E0,1.166999969E2,3.790092468E0,2.500000000E0
5.686768441E1,6.515474571E1,2.568930271E1,3.924946113E1,1.029999971E0,1.178000031E2,3.790092468E0,2.500000000E0
5.786798716E1,6.515474142E1,2.568932132E1,3.938032132E1,1.070000052E0,1.185000000E2,3.790092468E0,2.500000000E0
5.886776612E1,6.515473673E1,2.568933911E1,3.929871821E1,1.049999952E0,1.215000000E2,3.790092468E0,2.500000000E0
5.986820446E1,6.515473198E1,2.568935807E1,3.928620691E1,1.059999943E0,1.203000031E2,3.790092468E0,2.500000000E0
6.086769690E1,6.515472739E1,2.568937541E1,3.925660573E1,1.029999971E0,1.211999969E2,3.790092468E0,2.500000000E0
6.186746628E1,6.515472325E1,2.568939513E1,3.927253668E1,1.059999943E0,1.178000031E2,3.790092468E0,2.500000000E0
6.286733784E1,6.515471902E1,2.568941448E1,3.954493738E1,1.059999943E0,1.170999985E2,3.790092468E0,2.500000000E0
6.386781388E1,6.515471436E1,2.568943327E1,3.931031913E1,1.039999962E0,1.191999969E2,3.790092468E0,2.500000000E0
