"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.937088240E-1,1.053063422E-1,1.810073853E-2,-1.346759796E-1
4.987088240E-1,7.940360904E-2,2.638149261E-2,-1.126918793E-1
5.037088240E-1,2.991227806E-2,3.346014023E-2,-9.990835190E-2
5.087088240E-1,-4.725762457E-2,5.474281311E-2,-1.496524811E-1
5.137088240E-1,-1.141682342E-1,6.230878830E-2,-2.264351845E-1
5.187088240E-1,-1.998545527E-1,5.522489548E-2,-2.821788788E-1
5.237088240E-1,-2.950688601E-1,7.286548615E-2,-3.353385925E-1
5.287088240E-1,-3.192814589E-1,1.069827080E-1,-3.658905029E-1
5.337088240E-1,-2.810613811E-1,1.149096489E-1,-3.640537262E-1
5.387088240E-1,-1.881288737E-1,1.419963837E-1,-3.326706886E-1
5.437088240E-1,-7.438699156E-2,1.780447960E-1,-3.030452728E-1
5.487088240E-1,-8.174329996E-4,2.000889778E-1,-3.116941452E-1
5.537088240E-1,1.373977214E-2,2.028403282E-1,-3.803243637E-1
5.587088240E-1,-1.890194416E-2,1.612696648E-1,-4.884538651E-1
5.637088240E-1,-7.975628972E-2,1.181488037E-1,-6.058735847E-1
5.687088240E-1,-2.006324828E-1,1.673831940E-1,-6.306495667E-1
5.737088240E-1,-2.449834794E-1,1.871418953E-1,-5.553612709E-1
5.787088240E-1,-2.669012845E-1,1.503801346E-1,-4.736371040E-1
5.837088240E-1,-2.973844707E-1,1.272406578E-1,-3.888950348E-1
5.887088240E-1,-3.103644848E-1,9.855365753E-2,-2.914838791E-1
5.937088240E-1,-3.210521340E-1,8.078432083E-2,-1.767401695E-1
5.987088240E-1,-3.504885435E-1,1.341013908E-1,-3.222322464E-2
6.037088240E-1,-3.735316396E-1,1.484274864E-1,8.113479614E-2
6.087088240E-1,-4.161170721E-1,1.378140450E-1,2.153062820E-1
6.137088240E-1,-4.760425091E-1,1.277170181E-1,3.195362091E-1
6.187088240E-1,-5.326688290E-1,1.207070351E-1,3.880119324E-1
6.237088240E-1,-5.542706251E-1,9.943008423E-2,4.526386261E-1
6.287088240E-1,-5.224776864E-1,7.242584229E-2,4.618334770E-1
6.337088240E-1,-4.640239477E-1,5.052328110E-2,4.822139740E-1
6.387088240E-1,-4.241080880E-1,2.983522415E-2,4.667491913E-1
6.437088240E-1,-3.698301613E-1,-1.192235947E-2,4.413671494E-1
6.487088240E-1,-2.874415517E-1,-6.570386887E-2,3.972597122E-1
6.537088240E-1,-1.665326655E-1,-1.203680038E-1,3.100385666E-1
6.587088240E-1,-5.345495045E-2,-1.320290565E-1,2.111740112E-1
6.637088240E-1,1.215626299E-2,-1.196074486E-1,1.389503479E-1
6.687088240E-1,3.403186798E-2,-1.437153816E-1,8.295440674E-2
6.737088240E-1,7.489779592E-2,-1.707229614E-1,3.210067749E-2
6.787088240E-1,8.588181436E-2,-2.006626129E-1,-1.191711426E-2
6.837088240E-1,9.413659573E-2,-2.178840637E-1,-3.604030609E-2
6.887088240E-1,1.119952723E-1,-2.636113167E-1,-6.118965149E-2
6.937088240E-1,8.330996335E-2,-2.661356926E-1,-7.561969757E-2
6.987088240E-1,5.671611428E-2,-2.215580940E-1,-5.892562866E-2
7.037088240E-1,-4.065036774E-5,-2.005586624E-1,9.414672852E-3
7.087088240E-1,-2.209562063E-2,-1.665887833E-1,1.292381287E-1
7.137088240E-1,-3.142276406E-2,-1.271953583E-1,2.174072266E-1
7.187088240E-1,-2.493414283E-2,-9.826755524E-2,2.392826080E-1
7.237088240E-1,-3.110021353E-4,-7.677936554E-2,2.691612244E-1
7.287088240E-1,5.650067329E-2,-5.849838257E-2,2.615442276E-1
7.337088240E-1,1.242583990E-1,-5.250597000E-2,2.270021439E-1
7.387088240E-1,2.042625099E-1,-5.185604095E-2,1.543560028E-1
7.437088240E-1,2.708063424E-1,-6.112909317E-2,4.827785492E-2
7.487088240E-1,3.299469948E-1,-6.438112259E-2,-7.537460327E-2
7.537088240E-1,3.720224500E-1,-8.019399643E-2,-2.128305435E-1
7.587088240E-1,3.729104996E-1,-9.789133072E-2,-3.707923889E-1
7.637088240E-1,3.225660920E-1,-6.772327423E-2,-4.506525993E-1
7.687088240E-1,3.006016016E-1,-5.510282516E-2,-4.830045700E-1
7.737088240E-1,2.785856128E-1,-7.042503357E-2,-4.627656937E-1
7.787088240E-1,2.759168446E-1,-6.948995590E-2,-3.874087334E-1
7.837088240E-1,2.932485342E-1,-9.760665894E-2,-2.889213562E-1
7.887088240E-1,2.942263484E-1,-1.004385948E-1,-1.894989014E-1
7.937088240E-1,2.606406212E-1,-7.960510254E-2,-9.195518494E-2
7.987088240E-1,1.985587478E-1,-7.419824600E-2,4.134750366E-2
8.037088240E-1,1.466297507E-1,-6.850862503E-2,1.671495438E-1
8.087088240E-1,1.224409714E-1,-5.341053009E-2,2.948608398E-1
8.137088240E-1,1.015858203E-1,-3.292989731E-2,3.981142044E-1
8.187088240E-1,6.086780131E-2,9.113788605E-3,4.588680267E-1
8.237088240E-1,3.485791385E-2,2.127933502E-2,4.767503738E-1
8.287088240E-1,1.404304802E-2,2.997875214E-3,4.329242706E-1
8.337088240E-1,2.180226147E-2,-2.197504044E-2,3.634595871E-1
8.387088240E-1,2.424448729E-2,-2.804756165E-2,2.896213531E-1
8.437088240E-1,5.364462733E-3,-1.745414734E-2,2.201089859E-1
8.487088240E-1,-5.829063058E-2,1.723480225E-2,1.602334976E-1
8.537088240E-1,-1.358160973E-1,2.910757065E-2,1.010770798E-1
8.587088240E-1,-1.954068542E-1,2.610826492E-2,6.260871887E-2
8.637088240E-1,-2.116415203E-1,-1.697540283E-4,4.044342041E-2
8.687088240E-1,-2.082018852E-1,3.375053406E-3,6.178760529E-2
8.737088240E-1,-2.037555575E-1,2.945804596E-2,1.051950455E-1
8.787088240E-1,-1.875214875E-1,4.665470123E-2,1.677808762E-1
8.837088240E-1,-1.752817929E-1,2.231216431E-2,2.364711761E-1
8.887088240E-1,-1.796264052E-1,-1.436376572E-2,2.876720428E-1
8.937088240E-1,-1.956632435E-1,-1.047372818E-2,3.481245041E-1
8.987088240E-1,-2.089895308E-1,-1.752185822E-2,3.453598022E-1
9.037088240E-1,-2.005210817E-1,-2.982282639E-2,3.663206100E-1
9.087088240E-1,-1.515215039E-1,-4.355955124E-2,3.884077072E-1
9.137088240E-1,-7.549411058E-2,-4.618120193E-2,3.741464615E-1
9.187088240E-1,8.768647909E-3,-4.133415222E-2,3.479413986E-1
9.237088240E-1,8.780159056E-2,-3.893709183E-2,2.948102951E-1
9.287088240E-1,1.083499342E-1,-3.824853897E-2,1.611528397E-1
9.337088240E-1,1.064536870E-1,-3.183031082E-2,1.035022736E-2
9.387088240E-1,7.586696744E-2,-9.742736816E-3,-1.439094543E-1
9.437088240E-1,2.734601498E-2,1.451683044E-2,-2.813496590E-1
9.487088240E-1,-3.199824691E-2,5.741739273E-2,-3.904194832E-1
9.537088240E-1,-7.479122281E-2,7.081031799E-2,-4.705977440E-1
9.587088240E-1,-5.698624253E-2,6.972265244E-2,-5.157628059E-1
9.637088240E-1,-5.632954836E-2,9.512424469E-2,-5.000281334E-1
9.687088240E-1,-1.447209716E-2,1.214361191E-1,-4.506216049E-1
9.737088240E-1,4.340267181E-2,1.251173019E-1,-3.993492126E-1
9.787088240E-1,6.831383705E-2,1.158814430E-1,-3.698024750E-1
9.837088240E-1,4.157805443E-2,1.261234283E-1,-3.226914406E-1
9.887088240E-1,-6.415247917E-4,1.038227081E-1,-2.122297287E-1
9.937088240E-1,-2.088680863E-2,8.600378036E-2,-9.086322784E-2
9.987088240E-1,-2.665710449E-2,8.246803284E-2,1.987075806E-2
1.003708824E0,-1.117399335E-2,5.815315247E-2,1.060962677E-1
1.008708824E0,3.950595856E-2,2.130651474E-2,1.612949371E-1
1.013708824E0,1.105631739E-1,-3.971576691E-3,1.914901733E-1
1.018708824E0,1.889272928E-1,-4.187250137E-2,2.034740448E-1
1.023708824E0,2.404991388E-1,-7.242965698E-2,2.070522308E-1
1.028708824E0,2.716175616E-1,-9.594964981E-2,2.239122391E-1
1.033708824E0,2.918330431E-1,-1.227750778E-1,2.496347427E-1
1.038708824E0,3.132521808E-1,-1.663002968E-1,2.787828445E-1
1.043708824E0,3.154677451E-1,-1.955056190E-1,2.987442017E-1
1.048708824E0,3.122005761E-1,-2.061796188E-1,3.186950684E-1
1.053708824E0,2.876945436E-1,-2.144284248E-1,3.527011871E-1
1.058708824E0,3.055903316E-1,-2.153444290E-1,3.884506226E-1
1.063708824E0,3.299711049E-1,-2.107977867E-1,3.933706284E-1
1.068708824E0,3.304675817E-1,-2.287049294E-1,3.655414581E-1
1.073708824E0,2.814589441E-1,-2.531018257E-1,3.032827377E-1
1.078708824E0,1.992016435E-1,-2.537140846E-1,2.642793655E-1
1.083708824E0,1.120040566E-1,-2.199683189E-1,2.853450775E-1
1.088708824E0,2.344301343E-2,-1.675572395E-1,3.129377365E-1
1.093708824E0,-1.206955314E-2,-1.302862167E-1,3.455142975E-1
1.098708824E0,-2.937108278E-3,-8.624601364E-2,3.398637772E-1
1.103708824E0,4.659354687E-3,-3.963184357E-2,2.796697617E-1
1.108708824E0,2.465561032E-2,1.191997528E-2,1.999759674E-1
1.113708824E0,4.198032618E-2,4.855632782E-2,1.148109436E-1
1.118708824E0,6.022401154E-2,8.190727234E-2,2.995872498E-2
1.123708824E0,4.748167098E-2,1.282467842E-1,-3.529548645E-3
1.128708824E0,4.762010276E-2,1.790413857E-1,-2.929496765E-2
1.133708824E0,7.246859372E-2,1.903905869E-1,-6.604766846E-2
1.138708824E0,1.042716354E-1,1.547865868E-1,-1.054334641E-1
1.143708824E0,1.331759691E-1,1.351704597E-1,-1.219844818E-1
1.148708824E0,1.388381273E-1,1.173572540E-1,-7.994747162E-2
1.153708824E0,1.164715737E-1,1.196870804E-1,1.048755646E-2
1.158708824E0,5.463296175E-2,1.303858757E-1,1.198749542E-1
1.163708824E0,-1.895949244E-2,1.242904663E-1,1.836795807E-1
1.168708824E0,-9.223178029E-2,1.248826981E-1,2.226476669E-1
1.173708824E0,-1.730184555E-1,1.642622948E-1,2.627964020E-1
1.178708824E0,-2.325873673E-1,2.089333534E-1,2.926874161E-1
1.183708824E0,-2.608913183E-1,2.318291664E-1,2.911405563E-1
1.188708824E0,-2.707038820E-1,2.586507797E-1,2.206602097E-1
1.193708824E0,-2.719425261E-1,2.614164352E-1,1.093521118E-1
1.198708824E0,-2.713991106E-1,2.475218773E-1,-1.945209503E-2
1.203708824E0,-2.941106856E-1,2.426724434E-1,-1.355433464E-1
1.208708824E0,-3.119874895E-1,2.352881432E-1,-2.187066078E-1
1.213708824E0,-3.519978821E-1,2.260737419E-1,-2.856354713E-1
1.218708824E0,-4.595775306E-1,2.620825768E-1,-3.023557663E-1
1.223708824E0,-5.068827868E-1,2.485847473E-1,-3.045444489E-1
1.228708824E0,-4.893755019E-1,2.012600899E-1,-3.004570007E-1
1.233708824E0,-4.723394811E-1,2.035689354E-1,-2.816238403E-1
1.238708824E0,-4.364412725E-1,1.886858940E-1,-2.333869934E-1
1.243708824E0,-4.052421749E-1,1.577239037E-1,-1.672043800E-1
1.248708824E0,-3.533029258E-1,1.160120964E-1,-1.180801392E-1
1.253708824E0,-3.229242563E-1,6.895256042E-2,-1.207242012E-1
1.258708824E0,-2.775177360E-1,3.338289261E-2,-1.496400833E-1
1.263708824E0,-2.357353568E-1,1.380825043E-2,-1.559534073E-1
1.268708824E0,-1.925737858E-1,-8.509635925E-3,-1.589498520E-1
1.273708824E0,-1.471035779E-1,-3.668165207E-2,-1.820416451E-1
1.278708824E0,-9.631288052E-2,-6.621551514E-2,-2.073783875E-1
1.283708824E0,-4.123100638E-2,-1.020555496E-1,-2.610530853E-1
1.288708824E0,-1.317432523E-2,-1.441612244E-1,-2.886137962E-1
